Highest Perceptron accuracy so far: 0.0005564830272676684, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.0011129660545353367, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.001669449081803005, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.0022259321090706734, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.0027824151363383415, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.00333889816360601, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.0038953811908736783, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.004451864218141347, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.005008347245409015, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.005564830272676683, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.006121313299944352, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.00667779632721202, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.007234279354479688, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.0077907623817473565, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.008347245409015025, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.008903728436282694, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.009460211463550361, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.01001669449081803, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.010573177518085699, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.011129660545353366, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.011686143572621035, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.012242626599888704, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.012799109627156371, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.01335559265442404, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.013912075681691708, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.014468558708959377, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.015025041736227046, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.015581524763494713, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.016138007790762382, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.01669449081803005, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.01725097384529772, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.017807456872565387, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.018363939899833055, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.018920422927100722, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.019476905954368393, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.02003338898163606, Parameters: learning rate=0.0001, shuffle=True
